"특별법범",건설기계관리법,소계,317,44,4,1,32,80,95,25,13,23
"특별법범",건설산업기본법,소계,635,17,,1,21,59,104,68,74,291
"특별법범",건축법,소계,3185,60,31,37,414,708,656,261,262,756
"특별법범",게임산업진흥에관한법률,소계,3846,588,48,74,585,1107,914,266,149,115
"특별법범",결혼중개업의관리에관한법률,소계,77,,,,3,12,19,13,14,16
"특별법범",경범죄처벌법,소계,6590,4243,32,64,337,685,625,209,95,300
"특별법범",고용보험법,소계,2594,110,12,7,52,178,511,566,531,627
"특별법범",공유수면관리및매립에관한법률,소계,8998,22,3,296,24,117,564,833,1711,5428
"특별법범",공유재산및물품관리법,소계,107,6,,2,9,20,26,18,11,15
"특별법범",공인중개사법,소계,861,19,2,4,46,138,202,91,85,274
"특별법범",공중위생관리법,소계,2143,92,15,13,194,410,476,346,460,137
"특별법범",공직선거법,소계,1172,150,12,18,64,198,354,243,95,38
"특별법범",관세법,소계,584,330,,1,1,8,26,18,30,170
"특별법범",교통사고처리특례법,소계,181325,88638,5814,7023,34055,31834,11761,1400,466,334
"특별법범",국가기술자격법,소계,396,4,1,,1,11,15,10,8,346
"특별법범",국가보안법,소계,41,6,,,,1,,1,3,30
"특별법범",국민체육진흥법,소계,344,11,,,16,23,78,58,104,54
"특별법범",국토의계획및이용에관한법률,소계,1289,26,17,20,142,255,335,160,126,208
"특별법범",근로기준법,소계,34718,1975,39,39,456,2284,7933,8058,6741,7193
"특별법범",근로자퇴직급여보장법,소계,9987,550,17,10,145,731,2522,2385,1824,1803
"특별법범",낚시관리및육성법,소계,1011,48,2,1,412,186,50,10,298,4
"특별법범",노동조합및노동관계조정법,소계,597,72,2,,14,35,127,131,111,105
"특별법범",농수산물유통및가격안정에관한법률,소계,30,3,,,4,6,8,7,,2
"특별법범",농수산물의원산지표시에관한법률,소계,2069,762,28,20,153,409,461,152,52,32
"특별법범",농지법,소계,831,13,4,10,68,153,158,70,81,274
"특별법범",대기환경보전법,소계,2377,197,24,26,211,613,664,317,221,104
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,1126,155,11,5,37,80,174,170,158,336
"특별법범",도로교통법,소계,12253,5144,247,318,1733,2412,1579,364,163,293
"특별법범",도로교통법(무면허운전),소계,21119,13728,422,475,2655,2234,1120,260,117,108
"특별법범",도로교통법(사고후미조치),소계,8900,2758,614,673,2236,1755,678,93,52,41
"특별법범",도로교통법(음주운전),소계,95277,64870,2256,3197,12911,9304,2309,227,98,105
"특별법범",도로교통법(음주측정거부),소계,2897,2360,29,41,201,199,53,8,2,4
"특별법범",도로법,소계,2066,48,15,21,212,563,716,211,157,123
"특별법범",도시및주거환경정비법,소계,432,3,,,2,40,112,78,64,133
"특별법범",독점규제및공정거래에관한법률,소계,32,6,,,1,2,2,1,2,18
"특별법범",디자인보호법,소계,369,7,,,3,51,173,60,28,47
"특별법범",마약류관리에관한법률(대마),소계,1672,228,16,8,59,208,369,245,245,294
"특별법범",마약류관리에관한법률(마약),소계,1867,784,43,26,149,407,343,56,22,37
"특별법범",마약류관리에관한법률(향정),소계,6514,1016,94,90,353,704,1403,1160,961,733
"특별법범",물환경보전법,소계,657,69,,4,44,157,198,84,54,47
